faculty_id,name,designation,pref_time,pref_no_backtoback,pref_no_teaching_day
F01,Prof. Ashwin Patel,Prof,morning,False,none
F02,Prof. Jyoti Deshmukh,Prof,morning,True,Monday
F03,Prof. Raghav Acharya,Prof,afternoon,False,none
F04,Prof. Kavitha Nair,Asso Prof,morning,True,none
F05,Prof. Prakash Hegde,Asso Prof,morning,False,Wednesday
F06,Prof. Shilpa Rao,Asso Prof,afternoon,True,none
F07,Prof. Varun Kulkarni,Asso Prof,morning,False,none
F08,Prof. Anitha Menon,Asso Prof,morning,True,Friday
F09,Prof. Bharath Iyer,Asso Prof,none,False,none
F10,Prof. Deepika Gowda,Asst Prof,afternoon,True,none
F11,Prof. Karthik Shenoy,Asst Prof,morning,False,Thursday
F12,Prof. Lavanya Prasad,Asst Prof,morning,True,none
F13,Prof. Mohan Das,Asst Prof,none,False,none
F14,Prof. Nivedita Sharma,Asst Prof,afternoon,True,Tuesday
F15,Prof. Pranav Reddy,Asst Prof,morning,False,none
F16,Prof. Rashmi Pillai,Asst Prof,morning,True,none
F17,Prof. Suraj Murthy,Asst Prof,afternoon,False,Monday
F18,Prof. Veena Bhat,Asst Prof,none,True,none
F19,Prof. Harini Venkat,Asst Prof,morning,False,none
F20,Prof. Aditya Kamath,Asst Prof,afternoon,False,Wednesday
F21,Prof. Sowmya Hegde,Asst Prof,morning,True,none
F22,Prof. Ravi Shankar,Asst Prof,morning,False,Friday
F23,Prof. Priya Nambiar,Asst Prof,afternoon,True,none
F24,Prof. Girish Rao,Asst Prof,morning,False,none
F25,Prof. Meghana Das,Asst Prof,none,True,Thursday
F26,Prof. Sachin Kulkarni,Asst Prof,morning,False,none
F27,Prof. Divya Shetty,Asst Prof,afternoon,False,none
