faculty_id,name,designation,pref_time,pref_no_backtoback,pref_no_teaching_day
F01,Aryan Sharma,Prof,morning,False,none
F02,Meera Iyer,Prof,morning,True,Monday
F03,Suresh Nair,Prof,afternoon,False,none
F04,Kavya Reddy,Asso Prof,morning,True,none
F05,Rajan Pillai,Asso Prof,morning,False,Wednesday
F06,Divya Menon,Asso Prof,afternoon,True,none
F07,Kiran Bhat,Asso Prof,morning,False,none
F08,Ananya Das,Asso Prof,morning,True,Friday
F09,Siddharth Rao,Asso Prof,none,False,none
F10,Preethi Joshi,Asso Prof,afternoon,True,none
F11,Vikram Hegde,Asst Prof,morning,False,Thursday
F12,Sneha Kulkarni,Asst Prof,morning,True,none
F13,Arun Krishnan,Asst Prof,none,False,none
F14,Deepa Verma,Asst Prof,afternoon,True,Tuesday
F15,Rohit Shenoy,Asst Prof,morning,False,none
F16,Lakshmi Prasad,Asst Prof,morning,True,none
F17,Nandini Gowda,Asst Prof,afternoon,False,Monday
F18,Tejas Murthy,Asst Prof,none,True,none
F19,Pooja Srinivas,Asst Prof,morning,False,none
F20,Harsha Rao,Asst Prof,afternoon,False,Wednesday
